Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Villager Gender,Style 1,Style 2,Label Themes,Sort Order,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID
detective's coat,#REF!,#REF!,Gray,No,2500,625,51,Gray,Gray,1x1,2200,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,NA,Free,Free,Elegant,Cool,work,1,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLDetective1,507,9231,2oTF5bd7oJ5vioo8y
detective's coat,#REF!,#REF!,Brown,No,2500,625,51,Brown,Brown,1x1,2200,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,NA,Free,Free,Elegant,Cool,work,2,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLDetective0,507,4681,JPpE2qr6ZvkMgym8e
detective's coat,#REF!,#REF!,Beige,No,2500,625,51,Beige,Beige,1x1,2200,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,NA,Free,Free,Elegant,Cool,work,3,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLDetective2,507,9232,QcsEmZRoLXiqQxPXZ
diner apron,#REF!,#REF!,Black,No,840,210,51,Black,White,1x1,760,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Cute,work,1,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLDiner6,1066,12091,sfqudTHj4v9szgLWR
diner apron,#REF!,#REF!,Red,No,840,210,51,Red,White,1x1,760,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Cute,work,2,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLDiner1,1066,12086,9TY47EoQFbH7rnLge
diner apron,#REF!,#REF!,Pink,No,840,210,51,Pink,White,1x1,760,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Cute,work,3,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLDiner0,1066,9815,hKRnjmGtdw7ifKnDd
diner apron,#REF!,#REF!,Yellow,No,840,210,51,Yellow,White,1x1,760,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Cute,work,4,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLDiner3,1066,12088,JeP6Lj2TmjDgco9Cz
diner apron,#REF!,#REF!,Aquamarine,No,840,210,51,Green,White,1x1,760,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Cute,work,5,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLDiner4,1066,12089,EckXP3CvaANkKJ3ZW
diner apron,#REF!,#REF!,Blue,No,840,210,51,Blue,White,1x1,760,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Cute,work,6,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLDiner2,1066,12087,mQyhdDXtR6ow8nQ9g
diner apron,#REF!,#REF!,Cream,No,840,210,51,Beige,White,1x1,760,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Cute,work,7,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLDiner5,1066,12090,y5FCJj7CYrby2zny2
dirty tank top,#REF!,#REF!,White,No,NFS,30,53,White,Brown,1x1,NA,NA,Recycle box,,NA,NA,All Year,All Year,NA,Free,Free,Active,Cool,outdoorsy; sporty; work,1,Yes,Not for sale,2.0.0,Yes,TopsTexTopTshirtsNTanktopdirty0,1460,14794,JyBNeoNbsGph56nkk
dirty tank top,#REF!,#REF!,Black,No,NFS,30,53,Black,Brown,1x1,NA,NA,Recycle box,,NA,NA,All Year,All Year,NA,Free,Free,Active,Cool,outdoorsy; sporty; work,2,Yes,Not for sale,2.0.0,Yes,TopsTexTopTshirtsNTanktopdirty3,1460,447,cb8qWqsCjaa37TWJx
dirty tank top,#REF!,#REF!,Olive,No,NFS,30,53,Green,Brown,1x1,NA,NA,Recycle box,,NA,NA,All Year,All Year,NA,Free,Free,Active,Cool,outdoorsy; sporty; work,3,Yes,Not for sale,2.0.0,Yes,TopsTexTopTshirtsNTanktopdirty1,1460,445,zudfJYmiQnXAYGHBe
dirty tank top,#REF!,#REF!,Light brown,No,NFS,30,53,Beige,Brown,1x1,NA,NA,Recycle box,,NA,NA,All Year,All Year,NA,Free,Free,Active,Cool,outdoorsy; sporty; work,4,Yes,Not for sale,2.0.0,Yes,TopsTexTopTshirtsNTanktopdirty2,1460,446,3x3sWD9NKGmHrKZpN
DJ KK logo tee,#REF!,#REF!,Neon blue,No,NFS,300,51,Black,Aqua,1x1,1100,Poki,HHP Apparel Shop,Available during DJ KK festival,Happy Home Paradise,Yes,All Year,All Year,NA,Free,Free,Cool,Active,party; theatrical,1,Yes,Not for sale,2.0.0,Yes,TopsTexTopTshirtsemmLDjkk0,1433,14685,PYPXDwFrj7qaKwYeA
DJ KK logo tee,#REF!,#REF!,Neon orange,No,NFS,300,51,Black,Orange,1x1,1100,Poki,HHP Apparel Shop,Available during DJ KK festival,Happy Home Paradise,Yes,All Year,All Year,NA,Free,Free,Cool,Active,party; theatrical,2,Yes,Not for sale,2.0.0,Yes,TopsTexTopTshirtsemmLDjkk1,1433,279,7eDLWw792rGR2wmQS
DJ KK logo tee,#REF!,#REF!,Neon pink,No,NFS,300,51,Black,Pink,1x1,1100,Poki,HHP Apparel Shop,Available during DJ KK festival,Happy Home Paradise,Yes,All Year,All Year,NA,Free,Free,Cool,Active,party; theatrical,3,Yes,Not for sale,2.0.0,Yes,TopsTexTopTshirtsemmLDjkk2,1433,280,tshxK44eSc6Q6C6tn
DJ KK logo tee,#REF!,#REF!,Neon green,No,NFS,300,51,Black,Green,1x1,1100,Poki,HHP Apparel Shop,Available during DJ KK festival,Happy Home Paradise,Yes,All Year,All Year,NA,Free,Free,Cool,Active,party; theatrical,4,Yes,Not for sale,2.0.0,Yes,TopsTexTopTshirtsemmLDjkk3,1433,281,6Qif7KXas3e5yd43K
doctor's coat,#REF!,#REF!,Black necktie,No,2160,540,51,White,Black,1x1,1900,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Cool,work,1,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLWhitecoat1,73,7794,LudiJsF9ut7zd2f7X
doctor's coat,#REF!,#REF!,Red necktie,No,2160,540,51,White,Red,1x1,1900,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Cool,work,2,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLWhitecoat0,73,3174,HRqmqmYxu9Lqva6ga
dolly shirt,#REF!,#REF!,Pink,No,960,240,51,Pink,Pink,1x1,860,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Spring,NA,Free,Free,Cute,Elegant,everyday; fairy tale,1,Yes,For sale,1.0.0,Yes,TopsTexTopPuffHDolly0,1079,9828,P44fsEoB5vHDC9vxu
dolly shirt,#REF!,#REF!,Yellow,No,960,240,51,Yellow,Orange,1x1,860,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Spring,NA,Free,Free,Cute,Elegant,everyday; fairy tale,2,Yes,For sale,1.0.0,Yes,TopsTexTopPuffHDolly2,1079,11953,su4iyqrqQ2LXC5nfW
dolly shirt,#REF!,#REF!,Blue,No,960,240,51,Aqua,Blue,1x1,860,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Spring,NA,Free,Free,Cute,Elegant,everyday; fairy tale,3,Yes,For sale,1.0.0,Yes,TopsTexTopPuffHDolly1,1079,11952,AcacBmTTXMoCpthvT
dolly shirt,#REF!,#REF!,Purple,No,960,240,51,Purple,Pink,1x1,860,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Spring,NA,Free,Free,Cute,Elegant,everyday; fairy tale,4,Yes,For sale,1.0.0,Yes,TopsTexTopPuffHDolly3,1079,11954,8wbvDqr4vrJSXyppS
dotted raincoat,#REF!,#REF!,Gray,No,1600,400,51,Gray,Yellow,1x1,1400,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Cute,Simple,outdoorsy,1,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLRaindot5,1063,11926,qPRwDY8PHvxaJuReF
dotted raincoat,#REF!,#REF!,Pink,No,1600,400,51,Pink,Orange,1x1,1400,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Cute,Simple,outdoorsy,2,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLRaindot1,1063,11922,vL2d24fN4NHbkAMym
dotted raincoat,#REF!,#REF!,Green,No,1600,400,51,Green,Yellow,1x1,1400,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Cute,Simple,outdoorsy,3,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLRaindot2,1063,11923,oTWYurenFd5465dd7
dotted raincoat,#REF!,#REF!,Light blue,No,1600,400,51,Aqua,Pink,1x1,1400,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Cute,Simple,outdoorsy,4,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLRaindot0,1063,9775,B2y5zLsQkKmStGJAo
dotted raincoat,#REF!,#REF!,Turquoise,No,1600,400,51,Aqua,Yellow,1x1,1400,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Cute,Simple,outdoorsy,5,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLRaindot4,1063,11925,jLLh5vTebtEGB9Syr
dotted raincoat,#REF!,#REF!,Blue,No,1600,400,51,Blue,Green,1x1,1400,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Cute,Simple,outdoorsy,6,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLRaindot3,1063,11924,KCX7QtFpAD5uX7g9y
doublet,#REF!,#REF!,Black,No,1520,380,51,Black,White,1x1,1400,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Manly,Simple,Elegant,formal; theatrical; work,1,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLDoublet0,916,6029,aXx3xZhshp2R24jw2
doublet,#REF!,#REF!,Red,No,1520,380,51,Red,White,1x1,1400,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Manly,Simple,Elegant,formal; theatrical; work,2,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLDoublet3,916,8287,97pWWGfGAEefhejRP
doublet,#REF!,#REF!,Green,No,1520,380,51,Green,White,1x1,1400,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Manly,Simple,Elegant,formal; theatrical; work,3,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLDoublet2,916,8286,f4fTgyZmKuZyazcJN
doublet,#REF!,#REF!,Blue,No,1520,380,51,Blue,White,1x1,1400,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Manly,Simple,Elegant,formal; theatrical; work,4,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLDoublet1,916,8285,caY3QTAeAh6L3eoQZ
down jacket,#REF!,#REF!,White,No,1120,280,51,White,White,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Active,Active,everyday; outdoorsy,1,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLDownjacket3,37,8310,bug5x399raaQJMBfc
down jacket,#REF!,#REF!,Black,No,1120,280,51,Black,Black,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Active,Active,everyday; outdoorsy,2,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLDownjacket1,37,8308,LZEHcozJ4hvs2f77j
down jacket,#REF!,#REF!,Red,No,1120,280,51,Red,Red,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Active,Active,everyday; outdoorsy,3,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLDownjacket2,37,8309,zFkodsTyjRR5KhAWc
down jacket,#REF!,#REF!,Orange,No,1120,280,51,Orange,Orange,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Active,Active,everyday; outdoorsy,4,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLDownjacket6,37,8313,trHwCjrin99NECa5E
down jacket,#REF!,#REF!,Yellow,No,1120,280,51,Yellow,Yellow,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Active,Active,everyday; outdoorsy,5,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLDownjacket5,37,8312,x8rLNy5SaYDfkoLBC
down jacket,#REF!,#REF!,Lime,No,1120,280,51,Green,Green,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Active,Active,everyday; outdoorsy,6,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLDownjacket7,37,8314,Dbzx8w3zjmdf9oTad
down jacket,#REF!,#REF!,Green,No,1120,280,51,Green,Green,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Active,Active,everyday; outdoorsy,7,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLDownjacket4,37,8311,FHNcfer97tNSwEP4k
down jacket,#REF!,#REF!,Blue,No,1120,280,51,Blue,Blue,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Active,Active,everyday; outdoorsy,8,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLDownjacket0,37,2778,KrL2xGPw4hkDGAMpw
down ski jacket,#REF!,#REF!,Red & yellow,No,1680,420,51,Red,Yellow,1x1,1500,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,NA,Free,Free,Active,Active,outdoorsy; sporty,1,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLSkidown0,531,4735,E5BDtcZ3d2SorxBwt
down ski jacket,#REF!,#REF!,Navy & red,No,1680,420,51,Blue,Red,1x1,1500,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,NA,Free,Free,Active,Active,outdoorsy; sporty,2,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLSkidown3,531,8336,S93NjqjcSsinW7vGy
down ski jacket,#REF!,#REF!,Blue & green,No,1680,420,51,Blue,Green,1x1,1500,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,Winter,Free,Free,Active,Active,outdoorsy; sporty,3,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLSkidown1,531,8334,H5TjQxYanEBbPrp92
down ski jacket,#REF!,#REF!,Navy & blue,No,1680,420,51,Blue,Aqua,1x1,1500,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,NA,Free,Free,Active,Active,outdoorsy; sporty,4,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLSkidown2,531,8335,JP4jdFRdHfjAxvw5s
dragon jacket,#REF!,#REF!,NA,No,2000,500,51,Black,Yellow,1x1,1800,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,Winter,Free,Free,Active,Gorgeous,outdoorsy,1,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLSukajandragonBlack,100,3256,P87yK7fWJs6bj6TYg
dreamy sweater,#REF!,#REF!,Pink,No,1440,360,51,Pink,Aqua,1x1,1300,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Spring,NA,Free,Free,Cute,Cute,fairy tale; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLYumekawa0,210,3635,enm7L67ic3tGrgnbX
dreamy sweater,#REF!,#REF!,Blue,No,1440,360,51,Blue,Purple,1x1,1300,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Spring,NA,Free,Free,Cute,Cute,fairy tale; comfy,2,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLYumekawa1,210,8001,7m4fHzDm6QzyCdReb
dress shirt,#REF!,#REF!,White,No,560,140,51,White,White,1x1,500,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Simple,Simple,everyday; formal; work,1,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLStandard0,40,2823,dDtpewbT3ZAXinyPA
dress shirt,#REF!,#REF!,Gray,No,560,140,51,Gray,Gray,1x1,500,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Simple,Simple,everyday; formal; work,2,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLStandard1,40,8337,kEa65RHQj8m2e45iW
dress shirt,#REF!,#REF!,Pink,No,560,140,51,Pink,Pink,1x1,500,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Simple,Simple,everyday; formal; work,3,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLStandard3,40,8339,RBXCCu5J2bqSBt3AT
dress shirt,#REF!,#REF!,Mint,No,560,140,51,Green,Green,1x1,500,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Simple,Simple,everyday; formal; work,4,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLStandard2,40,8338,mQqbQPJKfgqGHwDxj
dress shirt,#REF!,#REF!,Blue,No,560,140,51,Blue,Blue,1x1,500,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Simple,Simple,everyday; formal; work,5,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLStandard4,40,8340,L88LYrMAXuKeyAA5Y
dynamic tank top,#REF!,#REF!,Black,No,800,200,51,Black,Red,1x1,720,Poki,Able Sisters,,NA,NA,Summer,All Year,NA,Free,Free,Cool,Simple,everyday; party; work,1,Yes,For sale,2.0.0,Yes,TopsTexTopTshirtsNPendant0,1443,14732,m5bAJ6YadnW9EoNQ8
dynamic tank top,#REF!,#REF!,Dark red,No,800,200,51,Red,Yellow,1x1,720,Poki,Able Sisters,,NA,NA,Summer,All Year,NA,Free,Free,Cool,Simple,everyday; party; work,2,Yes,For sale,2.0.0,Yes,TopsTexTopTshirtsNPendant2,1443,14979,eMc5JANsMwRSmksfx
dynamic tank top,#REF!,#REF!,Navy blue,No,800,200,51,Blue,Aqua,1x1,720,Poki,Able Sisters,,NA,NA,Summer,All Year,NA,Free,Free,Cool,Simple,everyday; party; work,3,Yes,For sale,2.0.0,Yes,TopsTexTopTshirtsNPendant3,1443,14980,ZeLe25wZriz5pxNhZ
dynamic tank top,#REF!,#REF!,Purple,No,800,200,51,Purple,Pink,1x1,720,Poki,Able Sisters,,NA,NA,Summer,All Year,NA,Free,Free,Cool,Simple,everyday; party; work,4,Yes,For sale,2.0.0,Yes,TopsTexTopTshirtsNPendant1,1443,14978,thopsTp98g9sP6z33
earbuds combo,#REF!,#REF!,Yellow,No,1400,350,51,Yellow,Black,1x1,1300,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cool,Simple,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsLEarphone3,476,8409,tBS9Afmch8GoiZyNf
earbuds combo,#REF!,#REF!,Green,No,1400,350,51,Green,Black,1x1,1300,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cool,Simple,everyday; comfy,2,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsLEarphone1,476,8407,Z5EPZbr42inQuqMF7
earbuds combo,#REF!,#REF!,Blue,No,1400,350,51,Blue,Black,1x1,1300,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cool,Simple,everyday; comfy,3,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsLEarphone2,476,8408,xyaJkC2hXewt3EgwR
earbuds combo,#REF!,#REF!,Brown,No,1400,350,51,Brown,Black,1x1,1300,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,All Year,Free,Free,Cool,Simple,everyday; comfy,4,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsLEarphone0,476,4610,TAqWXoLXei58ghDxY
Edo-period merchant outfit,#REF!,#REF!,Dark blue,No,2080,520,51,Blue,Gray,1x1,1900,Poki,Able Sisters,,NA,NA,All Year,All Year,NA,Free,Free,Cool,Simple,fairy tale; work,1,Yes,For sale,2.0.0,Yes,TopsTexTopCoatHGoyokiki0,1486,14847,bSgvi3sBmJugDuEEp
Edo-period merchant outfit,#REF!,#REF!,Fuchsia,No,2080,520,51,Red,Beige,1x1,1900,Poki,Able Sisters,,NA,NA,All Year,All Year,NA,Free,Free,Cool,Simple,fairy tale; work,2,Yes,For sale,2.0.0,Yes,TopsTexTopCoatHGoyokiki1,1486,454,PS8xoGw4nR2jJr6eD
Edo-period merchant outfit,#REF!,#REF!,Pale green,No,2080,520,51,Green,Gray,1x1,1900,Poki,Able Sisters,,NA,NA,All Year,All Year,NA,Free,Free,Cool,Simple,fairy tale; work,3,Yes,For sale,2.0.0,Yes,TopsTexTopCoatHGoyokiki2,1486,455,uK4ZNi68ZvqcW87jS
Edo-period merchant outfit,#REF!,#REF!,Purple,No,2080,520,51,Purple,Gray,1x1,1900,Poki,Able Sisters,,NA,NA,All Year,All Year,NA,Free,Free,Cool,Simple,fairy tale; work,4,Yes,For sale,2.0.0,Yes,TopsTexTopCoatHGoyokiki3,1486,456,mw387xZMB2fjHcuKx
Edo-period merchant outfit,#REF!,#REF!,Gray,No,2080,520,51,Gray,Black,1x1,1900,Poki,Able Sisters,,NA,NA,All Year,All Year,NA,Free,Free,Cool,Simple,fairy tale; work,5,Yes,For sale,2.0.0,Yes,TopsTexTopCoatHGoyokiki4,1486,457,k9a2LfLjz7v3MZsRE
eight-ball tee,#REF!,#REF!,NA,No,560,140,51,Black,White,1x1,500,Poki,Nook Shopping Daily Selection,,NA,NA,All Year,Summer,NA,Free,Free,Active,Simple,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHNumberball8,136,3325,aGNGuPAvfzWYZyFXB
emblem blazer,#REF!,#REF!,Berry red,No,1960,490,51,Red,Pink,1x1,1800,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Elegant,Cool,formal,1,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLBlazer3,111,8111,2DXpovF8mqLzFsrEW
emblem blazer,#REF!,#REF!,Green,No,1960,490,51,Green,Red,1x1,1800,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Elegant,Cool,formal,2,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLBlazer0,111,3269,McjR5xxmfs7XvcAzp
emblem blazer,#REF!,#REF!,Navy blue,No,1960,490,51,Blue,Blue,1x1,1800,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Elegant,Cool,formal,3,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLBlazer1,111,8109,gy9DWXDAexJYDrewK
emblem blazer,#REF!,#REF!,Beige,No,1960,490,51,Brown,Green,1x1,1800,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Elegant,Cool,formal,4,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLBlazer2,111,8110,TGS8o5dMpySdP32ZD
embroidered tank,#REF!,#REF!,Red,No,960,240,51,Red,White,1x1,860,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,NA,Free,Free,Cute,Active,everyday; comfy; vacation,1,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNEmbroidery0,746,5441,9DzqH7aMSv95fJKRi
embroidered tank,#REF!,#REF!,Pink,No,960,240,51,Pink,White,1x1,860,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,NA,Free,Free,Cute,Active,everyday; comfy; vacation,2,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNEmbroidery3,746,8092,W5CLaXunDqKhGgf35
embroidered tank,#REF!,#REF!,Beige,No,960,240,51,Orange,White,1x1,860,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,NA,Free,Free,Cute,Active,everyday; comfy; vacation,3,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNEmbroidery5,746,8094,JFwe4zXwigsMto5jB
embroidered tank,#REF!,#REF!,Green,No,960,240,51,Green,White,1x1,860,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,NA,Free,Free,Cute,Active,everyday; comfy; vacation,4,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNEmbroidery4,746,8093,2Chdb8nsWRDZ7CkMT
embroidered tank,#REF!,#REF!,Blue,No,960,240,51,Blue,White,1x1,860,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,NA,Free,Free,Cute,Active,everyday; comfy; vacation,5,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNEmbroidery2,746,8091,2K72KeAGyAKbedWiT
embroidered tank,#REF!,#REF!,Navy blue,No,960,240,51,Blue,White,1x1,860,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,NA,Free,Free,Cute,Active,everyday; comfy; vacation,6,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNEmbroidery6,746,8095,6irGeSdqQsYeMi5vr
embroidered tank,#REF!,#REF!,Purple,No,960,240,51,Purple,White,1x1,860,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,NA,Free,Free,Cute,Active,everyday; comfy; vacation,7,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNEmbroidery1,746,8090,hYZdoywEYD2xwiy9f
energetic sweater,#REF!,#REF!,Pink,No,960,240,51,Pink,Yellow,1x1,860,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Spring,NA,Free,Free,Simple,Simple,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLKids3,616,7638,npAHqkah6boHyWapW
