,Name,Variation,DIY,Buy,Sell,Source,Source Notes,Catalog,Tab,Tag,Customize,Cyrus,Image,HHP Source
3001,gold helmet (Gold),,Yes,NFS,50000,Crafting,,Not for sale,clothing,headwear,False,False,https://acnhcdn.com/latest/FtrIcon/CapFullfaceKnightGold.png,"['Klaus', 'Knox', 'Rowan']"
3002,gold rose crown,,Yes,NFS,12000,Crafting,,Not for sale,clothing,headwear,False,False,https://acnhcdn.com/latest/FtrIcon/CapOrnamentRose5.png,['Rowan']
3003,gothic headdress (Black),['Black'],No,1120,280,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHelmetHeaddress1.png'],"['Midge', 'Elise']"
3004,gothic headdress (Red),['Red'],No,1120,280,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHelmetHeaddress2.png'],"['Midge', 'Elise']"
3005,gothic headdress (Pink),['Pink'],No,1120,280,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHelmetHeaddress3.png'],"['Midge', 'Elise']"
3006,gothic headdress (Blue),['Blue'],No,1120,280,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHelmetHeaddress4.png'],"['Midge', 'Elise']"
3007,gothic headdress (Purple),['Purple'],No,1120,280,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHelmetHeaddress0.png'],"['Midge', 'Elise']"
3008,gothic headdress (Light purple),['Light purple'],No,1120,280,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHelmetHeaddress5.png'],"['Midge', 'Elise']"
3009,grape hat,[nan],No,700,175,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatGrape.png'],
3010,halo,[nan],No,2220,555,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapOrnamentAAngel0.png'],"['Colton', 'Julian', 'Ione']"
3011,handmade crown,,No,300,75,Nook Shopping Seasonal,,Seasonal,clothing,headwear,False,False,https://acnhcdn.com/latest/FtrIcon/CapOrnamentCChildren0.png,
3012,head bandages (White),White,No,560,140,Able Sisters,,For sale,clothing,headwear,False,False,https://acnhcdn.com/latest/FtrIcon/CapHatBandage0.png,"['Tabby', 'Stinky', 'Hospital']"
3013,head bandages (Black),Black,No,560,140,Able Sisters,,For sale,clothing,headwear,False,False,https://acnhcdn.com/latest/FtrIcon/CapHatBandage4.png,"['Tabby', 'Stinky', 'Hospital']"
3014,head bandages (Pink),Pink,No,560,140,Able Sisters,,For sale,clothing,headwear,False,False,https://acnhcdn.com/latest/FtrIcon/CapHatBandage1.png,"['Tabby', 'Stinky', 'Hospital']"
3015,head bandages (Green),Green,No,560,140,Able Sisters,,For sale,clothing,headwear,False,False,https://acnhcdn.com/latest/FtrIcon/CapHatBandage3.png,"['Tabby', 'Stinky', 'Hospital']"
3016,head bandages (Blue),Blue,No,560,140,Able Sisters,,For sale,clothing,headwear,False,False,https://acnhcdn.com/latest/FtrIcon/CapHatBandage2.png,"['Tabby', 'Stinky', 'Hospital']"
3017,headband (Pink),['Pink'],No,1400,350,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapWigTurban0.png'],"['Pango', 'Jambette', 'Cleo', 'Whitney']"
3018,headband (Green),['Green'],No,1400,350,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapWigTurban3.png'],"['Pango', 'Jambette', 'Cleo', 'Whitney']"
3019,headband (Blue),['Blue'],No,1400,350,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapWigTurban1.png'],"['Pango', 'Jambette', 'Cleo', 'Whitney']"
3020,headband (Purple),['Purple'],No,1400,350,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapWigTurban2.png'],"['Pango', 'Jambette', 'Cleo', 'Whitney']"
3021,headgear (Red),['Red'],No,910,227,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapCostumeHeadgear0.png'],"['Tom', 'Peewee', 'Rooney', 'Iggly']"
3022,headgear (Green),['Green'],No,910,227,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapCostumeHeadgear2.png'],"['Tom', 'Peewee', 'Rooney', 'Iggly']"
3023,headgear (Blue),['Blue'],No,910,227,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapCostumeHeadgear1.png'],"['Tom', 'Kody', 'Peewee', 'Rooney', 'Iggly']"
3024,headkerchief,[nan],No,490,122,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapFullfaceHokkamuriGreen.png'],"['Chevre', 'Rizzo']"
3025,heart bopper,,No,NFS,245,Isabelle,,Not for sale,clothing,headwear,False,False,https://acnhcdn.com/latest/FtrIcon/CapOrnamentFHeartband0.png,
3026,heart hairpin (Black),['Black'],No,700,175,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapOrnamentLHearthairpin4.png'],"['Tutu', 'Maddie']"
3027,heart hairpin (Red),['Red'],No,700,175,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapOrnamentLHearthairpin1.png'],"['Tutu', 'Maddie']"
3028,heart hairpin (Pink),['Pink'],No,700,175,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapOrnamentLHearthairpin0.png'],"['Tutu', 'Maddie']"
3029,heart hairpin (Green),['Green'],No,700,175,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapOrnamentLHearthairpin2.png'],"['Tutu', 'Maddie']"
3030,heart hairpin (Blue),['Blue'],No,700,175,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapOrnamentLHearthairpin3.png'],"['Tutu', 'Maddie']"
3031,Hello Kitty hat,[nan],No,1500,375,Nook Shopping Promotion,Scan the associated Sanrio amiibo card,Not in catalog,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatKitty0.png'],['Rilla']
3032,helmet with goggles (Black),['Black'],No,1100,275,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapCostumeGogglehelmet6.png'],
3033,helmet with goggles (Red),['Red'],No,1100,275,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapCostumeGogglehelmet4.png'],
3034,helmet with goggles (Pink),['Pink'],No,1100,275,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapCostumeGogglehelmet0.png'],
3035,helmet with goggles (Yellow),['Yellow'],No,1100,275,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapCostumeGogglehelmet7.png'],
3036,helmet with goggles (Green),['Green'],No,1100,275,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapCostumeGogglehelmet1.png'],
3037,helmet with goggles (Light blue),['Light blue'],No,1100,275,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapCostumeGogglehelmet5.png'],
3038,helmet with goggles (Blue),['Blue'],No,1100,275,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapCostumeGogglehelmet3.png'],
3039,helmet with goggles (Purple),['Purple'],No,1100,275,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapCostumeGogglehelmet2.png'],
3040,hibiscus hairpin (White),['White'],No,560,140,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapOrnamentLHibiscus2.png'],"['Piper', 'Cheri', 'Pekoe', 'Plucky', 'Opal', 'Bubbles', 'Yuka', 'Shari', 'Octavian', 'Cole']"
3041,hibiscus hairpin (Red),['Red'],No,560,140,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapOrnamentLHibiscus0.png'],"['Piper', 'Cheri', 'Pekoe', 'Plucky', 'Opal', 'Bubbles', 'Yuka', 'Shari', 'Octavian', 'Cole']"
3042,hibiscus hairpin (Pink),['Pink'],No,560,140,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapOrnamentLHibiscus3.png'],"['Piper', 'Cheri', 'Pekoe', 'Plucky', 'Opal', 'Bubbles', 'Yuka', 'Shari', 'Octavian', 'Cole']"
3043,hibiscus hairpin (Yellow),['Yellow'],No,560,140,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapOrnamentLHibiscus1.png'],"['Piper', 'Cheri', 'Pekoe', 'Plucky', 'Opal', 'Bubbles', 'Yuka', 'Shari', 'Octavian', 'Cole']"
3044,hockey mask (White),[nan],No,1440,360,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthHockeyWhite.png'],"['Gruff', 'Puck', 'Peanut']"
3045,horned-ogre mask (Red),['Red'],No,1120,280,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapMaskOgre1.png'],
3046,horned-ogre mask (Green),['Green'],No,1120,280,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapMaskOgre2.png'],
3047,horned-ogre mask (Blue),['Blue'],No,1120,280,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapMaskOgre0.png'],
3048,hot-dog hood (Red),[nan],No,560,140,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapBangsSausage.png'],"['Drake', 'Frita']"
3049,hyacinth crown,,Yes,NFS,640,Crafting,,Not for sale,clothing,headwear,False,False,https://acnhcdn.com/latest/FtrIcon/CapOrnamentHyacinth1.png,
3050,hygiene-safety hood (White),White,No,880,220,Able Sisters,,For sale,clothing,headwear,False,False,https://acnhcdn.com/latest/FtrIcon/CapCostumeHygiene0.png,['Restaurant']
3051,hygiene-safety hood (Orange),Orange,No,880,220,Able Sisters,,For sale,clothing,headwear,False,False,https://acnhcdn.com/latest/FtrIcon/CapCostumeHygiene4.png,['Restaurant']
3052,hygiene-safety hood (Yellow),Yellow,No,880,220,Able Sisters,,For sale,clothing,headwear,False,False,https://acnhcdn.com/latest/FtrIcon/CapCostumeHygiene3.png,['Restaurant']
3053,hygiene-safety hood (Green),Green,No,880,220,Able Sisters,,For sale,clothing,headwear,False,False,https://acnhcdn.com/latest/FtrIcon/CapCostumeHygiene2.png,['Restaurant']
3054,hygiene-safety hood (Blue),Blue,No,880,220,Able Sisters,,For sale,clothing,headwear,False,False,https://acnhcdn.com/latest/FtrIcon/CapCostumeHygiene1.png,['Restaurant']
3055,imitation cow skull,[nan],No,1120,280,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatCowWhite.png'],"['Poncho', 'Huck', 'Boone', 'Savannah', 'Bangle']"
3056,imp hood (Black),['Black'],No,1760,440,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapCostumeDevil0.png'],
3057,imp hood (Red),['Red'],No,1760,440,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapCostumeDevil1.png'],
3058,impish horns (White),['White'],No,800,200,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapOrnamentFHalloween2.png'],
3059,impish horns (Black),['Black'],No,800,200,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapOrnamentFHalloween5.png'],
3060,impish horns (Red),['Red'],No,800,200,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapOrnamentFHalloween4.png'],
3061,impish horns (Orange),['Orange'],No,800,200,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapOrnamentFHalloween0.png'],
3062,impish horns (Green),['Green'],No,800,200,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapOrnamentFHalloween3.png'],
3063,impish horns (Purple),['Purple'],No,800,200,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapOrnamentFHalloween1.png'],
3064,Jack's face,[nan],No,NFS,1000,Jack,Give Jack candy or a lollipop,Not for sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapFullfaceHalloween0.png'],
3065,jester's cap (Black & white),['Black & white'],No,1900,475,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatClown1.png'],['Pietro']
3066,jester's cap (Red & blue),['Red & blue'],No,1900,475,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatClown2.png'],['Pietro']
3067,jester's cap (Green & red),['Green & red'],No,1900,475,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatClown3.png'],['Pietro']
3068,jester's cap (Purple & yellow),['Purple & yellow'],No,1900,475,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatClown0.png'],['Pietro']
3069,jockey's helmet (White),['White'],No,1120,280,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatJockey7.png'],['Winnie']
3070,jockey's helmet (Black),['Black'],No,1120,280,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatJockey6.png'],['Winnie']
3071,jockey's helmet (Red),['Red'],No,1120,280,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatJockey5.png'],['Winnie']
3072,jockey's helmet (Pink),['Pink'],No,1120,280,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatJockey0.png'],['Winnie']
3073,jockey's helmet (Orange),['Orange'],No,1120,280,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatJockey1.png'],['Winnie']
3074,jockey's helmet (Yellow),['Yellow'],No,1120,280,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatJockey3.png'],"['Victoria', 'Winnie']"
3075,jockey's helmet (Green),['Green'],No,1120,280,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatJockey2.png'],['Winnie']
3076,jockey's helmet (Blue),['Blue'],No,1120,280,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatJockey4.png'],['Winnie']
3077,kaffiyeh (White),White,No,NFS,800,Gulliver,,Not for sale,clothing,headwear,False,False,https://acnhcdn.com/latest/FtrIcon/CapHelmetKandula0.png,
3078,kaffiyeh (Black),Black,No,NFS,800,Gulliver,,Not for sale,clothing,headwear,False,False,https://acnhcdn.com/latest/FtrIcon/CapHelmetKandula2.png,
3079,kaffiyeh (Red),Red,No,NFS,800,Gulliver,,Not for sale,clothing,headwear,False,False,https://acnhcdn.com/latest/FtrIcon/CapHelmetKandula1.png,
3080,kappa cap (Green),['Green'],No,980,245,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapCostumeKappa0.png'],
3081,kappa cap (Pink),['Pink'],No,980,245,Able Sisters,Available from Able Sisters shop only,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapCostumeKappa1.png'],
3082,Kerokerokeroppi pin,[nan],No,700,175,Nook Shopping Promotion,Scan the associated Sanrio amiibo card,Not in catalog,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapOrnamentCKeroppi0.png'],['Toby']
3083,Kiki & Lala pin,[nan],No,700,175,Nook Shopping Promotion,Scan the associated Sanrio amiibo card,Not in catalog,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapOrnamentLKikilala0.png'],['Étoile']
3084,King Tut mask (Gold),,Yes,NFS,50000,Crafting,,Not for sale,clothing,headwear,False,False,https://acnhcdn.com/latest/FtrIcon/CapFullfaceKingtut0.png,"['Ankha', 'Rowan']"
3085,kiwi hat,[nan],No,770,192,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatKiwi.png'],
3086,knight's helmet (Gray),,Yes,NFS,3750,Crafting,,Not for sale,clothing,headwear,False,False,https://acnhcdn.com/latest/FtrIcon/CapFullfaceKnightIron.png,"['Klaus', 'Kid Cat', 'Vladimir', 'Knox']"
3087,knit cap with earflaps (Gray),['Gray'],No,1000,250,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapBangsEarknit6.png'],['Eunice']
3088,knit cap with earflaps (Ruby red),['Ruby red'],No,1000,250,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapBangsEarknit4.png'],['Eunice']
3089,knit cap with earflaps (Pink),['Pink'],No,1000,250,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapBangsEarknit2.png'],['Eunice']
3090,knit cap with earflaps (Moss green),['Moss green'],No,1000,250,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapBangsEarknit5.png'],['Eunice']
3091,knit cap with earflaps (Green),['Green'],No,1000,250,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapBangsEarknit3.png'],['Eunice']
3092,knit cap with earflaps (Blue),['Blue'],No,1000,250,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapBangsEarknit1.png'],['Eunice']
3093,knit cap with earflaps (Beige),['Beige'],No,1000,250,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapBangsEarknit0.png'],['Eunice']
3094,knit cap with earmuffs,,No,1000,250,Able Sisters,,For sale,clothing,headwear,False,False,https://acnhcdn.com/latest/FtrIcon/CapBangsWinter0.png,
3095,knit hat (White),['White'],No,560,140,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatKnitcap1.png'],"['Anchovy', 'Erik']"
3096,knit hat (Gray),['Gray'],No,560,140,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatKnitcap2.png'],"['Anchovy', 'Erik']"
3097,knit hat (Black),['Black'],No,560,140,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatKnitcap0.png'],"['Anchovy', 'Erik']"
3098,knit hat (Red),['Red'],No,560,140,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatKnitcap4.png'],"['Anchovy', 'Erik']"
3099,knit hat (Pink),['Pink'],No,560,140,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatKnitcap7.png'],"['Anchovy', 'Erik']"
3100,knit hat (Ochre),['Ochre'],No,560,140,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatKnitcap3.png'],"['Anchovy', 'Erik']"
3101,knit hat (Green),['Green'],No,560,140,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatKnitcap6.png'],"['Anchovy', 'Erik']"
3102,knit hat (Blue),['Blue'],No,560,140,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatKnitcap5.png'],"['Anchovy', 'Erik']"
3103,Labelle cap (Midnight),['Midnight'],No,2400,600,Label,Added to Able Sisters stock rotation the day after receiving this item from Label,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatKatecap1.png'],
3104,Labelle cap (Passion),['Passion'],No,2400,600,Label,Added to Able Sisters stock rotation the day after receiving this item from Label,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatKatecap2.png'],
3105,Labelle cap (Love),['Love'],No,2400,600,Label,Added to Able Sisters stock rotation the day after receiving this item from Label,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatKatecap5.png'],
3106,Labelle cap (Sunset),['Sunset'],No,2400,600,Label,Added to Able Sisters stock rotation the day after receiving this item from Label,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatKatecap4.png'],
3107,Labelle cap (Ocean),['Ocean'],No,2400,600,Label,Added to Able Sisters stock rotation the day after receiving this item from Label,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatKatecap3.png'],
3108,Labelle cap (Twilight),['Twilight'],No,2400,600,Label,Added to Able Sisters stock rotation the day after receiving this item from Label,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatKatecap0.png'],
3109,Labelle hat (Midnight),['Midnight'],No,2500,625,Label,Added to Able Sisters stock rotation the day after receiving this item from Label,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatKatehat1.png'],
3110,Labelle hat (Passion),['Passion'],No,2500,625,Label,Added to Able Sisters stock rotation the day after receiving this item from Label,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatKatehat2.png'],
3111,Labelle hat (Love),['Love'],No,2500,625,Label,Added to Able Sisters stock rotation the day after receiving this item from Label,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatKatehat5.png'],
3112,Labelle hat (Sunset),['Sunset'],No,2500,625,Label,Added to Able Sisters stock rotation the day after receiving this item from Label,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatKatehat4.png'],
3113,Labelle hat (Ocean),['Ocean'],No,2500,625,Label,Added to Able Sisters stock rotation the day after receiving this item from Label,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatKatehat3.png'],
3114,Labelle hat (Twilight),['Twilight'],No,2500,625,Label,Added to Able Sisters stock rotation the day after receiving this item from Label,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatKatehat0.png'],
3115,leaf mask,,Yes,NFS,200,Crafting,,Not for sale,clothing,headwear,False,False,https://acnhcdn.com/latest/FtrIcon/CapMaskLeaf0.png,
3116,leaf-egg shell,,Yes,NFS,800,Crafting,,Not for sale,clothing,headwear,False,False,https://acnhcdn.com/latest/FtrIcon/CapHatEggleaf0.png,
3117,lettered cap (Red),['Red'],No,560,140,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatLogocap0.png'],"['Jay', 'Anchovy', 'Katt']"
3118,lettered cap (Olive),['Olive'],No,560,140,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatLogocap2.png'],"['Jay', 'Anchovy', 'Katt']"
3119,lettered cap (Beige),['Beige'],No,560,140,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,headwear,False,False,['https://acnhcdn.com/latest/FtrIcon/CapHatLogocap1.png'],"['Jay', 'Anchovy', 'Katt']"
3120,light-up flower crown (Pink),Pink,No,1320,330,Able Sisters,,For sale,clothing,headwear,False,False,https://acnhcdn.com/latest/FtrIcon/CapOrnamentCLuminouscorolla0.png,['Kyle']
3121,light-up flower crown (Light blue),Light blue,No,1320,330,Able Sisters,,For sale,clothing,headwear,False,False,https://acnhcdn.com/latest/FtrIcon/CapOrnamentCLuminouscorolla1.png,['Kyle']
3122,light-up flower crown (Purple),Purple,No,1320,330,Able Sisters,,For sale,clothing,headwear,False,False,https://acnhcdn.com/latest/FtrIcon/CapOrnamentCLuminouscorolla2.png,['Kyle']
3123,light-up flower crown (Yellow),Yellow,No,1320,330,Able Sisters,,For sale,clothing,headwear,False,False,https://acnhcdn.com/latest/FtrIcon/CapOrnamentCLuminouscorolla3.png,['Kyle']
3124,lily crown,,Yes,NFS,480,Crafting,,Not for sale,clothing,headwear,False,False,https://acnhcdn.com/latest/FtrIcon/CapOrnamentYuri1.png,['Coco']
3125,lovely cosmos crown,,Yes,NFS,1120,Crafting,,Not for sale,clothing,headwear,False,False,https://acnhcdn.com/latest/FtrIcon/CapOrnamentCosmos2.png,
